srlR	srlR	-
srlR	gutM	-
rcsA	csgD	-
rcsA	rcsA	+
rcsA	flhC	-
rcsA	flhD	-
rcsB	flhC	-
rcsB	ydeO	+
rcsB	flhD	-
rcsB	rcsA	+
rcsB	leuO	+
rcsB	gadX	+
rcsB	csgD	-
cspA	hns	+
adiY	gadX	+
arcA	gadX	+
arcA	rpoS	-
arcA	fnr	-
arcA	dpiA	+
arcA	lldR	-
arcA	xylR	+
arcA	betI	-
fadR	iclR	+
fis	fis	-
fis	gadX	-
fis	crp	-
fis	mazF	+
fis	glcC	-
fis	marA	+
fis	marR	+
fis	mazE	+
fis	xylR	-
fis	glnG	+
fis	mtlR	-
fis	hns	+
ompR	flhC	-
ompR	flhD	-
ompR	csgD	+
gcvA	gcvA	-
tdcA	tdcA	+
aidB	aidB	-
dcuR	dpiA	+
oxyR	oxyR	-
oxyR	fur	+
qseB	qseB	+
qseB	flhD	+
qseB	flhC	+
mlrA	cadC	+
mlrA	csgD	+
pdhR	pdhR	-
iclR	iclR	-
fnr	dcuR	+
fnr	hyfR	-
fnr	soxR	-
fnr	gadX	-
fnr	gadW	-
fnr	yeiL	-
fnr	yqjI	+
fnr	fnr	-
fnr	dpiA	-
fnr	cadC	+
fnr	fhlA	+
fnr	tdcA	+
fnr	pdhR	+
fnr	nikR	+
fnr	narL	-
fnr	soxS	-
fnr	nac	-
fnr	arcA	-
putA	putA	-
rcnR	rcnR	-
nikR	nikR	-
glnG	nac	+
glnG	glnG	-
gadE	rcsA	+
gadE	gadE	+
gadE	lrp	+
gadE	gadX	+
gadE	gadW	+
cynR	cynR	-
zraR	zraR	+
gadX	rpoS	+
gadX	gadE	+
gadX	gadX	+
gadX	gadW	+
gadX	hns	+
gadW	gadE	+
gadW	gadX	-
gadW	gadW	-
stpA	stpA	-
stpA	leuO	-
araC	araC	+
yqjI	yqjI	-
relB	relB	-
relB	relE	-
relE	relB	-
relE	relE	-
idnR	idnR	+
rhaS	rhaS	+
rhaS	rhaR	+
evgA	evgA	+
evgA	gadE	+
evgA	ydeO	+
rob	marA	+
rob	rob	-
rob	marR	+
dsdC	dsdC	-
lrp	lrp	-
lrp	stpA	+
lrp	yeiL	+
lrp	aidB	-
ydeO	gadE	+
ydeO	ydeO	-
hdfR	flhC	-
hdfR	flhD	-
melR	melR	+
cysB	cysB	-
uxuR	uxuR	-
baeR	baeR	+
chbR	chbR	+
purR	purR	-
nemR	nemR	-
cdaR	cdaR	+
torR	gadX	-
torR	torR	-
gutM	srlR	+
gutM	gutM	+
ilvY	ilvY	-
cytR	rpoH	-
cytR	cytR	-
argP	argP	-
argP	dnaA	+
argR	argR	-
accB	accB	-
alaS	alaS	-
yoeB	yefM	-
yoeB	yoeB	-
flhD	fliA	+
flhD	fliZ	+
betI	betI	-
hcaR	hcaR	-
leuO	bglJ	+
leuO	leuO	+
leuO	cadC	-
asnC	asnC	-
dksA	fis	-
dksA	dksA	-
dksA	rpoD	-
dksA	ihfA	-
dksA	ihfB	-
glcC	glcC	-
acrR	acrR	-
marA	rob	-
marA	putA	+
marA	marR	+
marA	marA	+
ecpR	fliZ	-
ecpR	ecpR	+
ecpR	flhC	-
ecpR	flhD	-
ecpR	fliA	-
